date,NDVI,NDWI
01/05/2017,0.411,0.26
01/07/2017,0.381,0.394
01/08/2017,0.117,0.319
01/09/2017,0.276,0.384
01/10/2017,0.372,0.345
01/11/2017,0.309,0.445
01/12/2017,0.016,0.525
01/01/2018,0.511,0.525
01/02/2018,0.453,0.408
01/03/2018,0.291,0.474
01/04/2018,0.306,0.178
01/05/2018,0.426,0.243
01/06/2018,0.541,0.285
01/07/2018,0.406,0.339
01/08/2018,0.538,0.405
01/09/2018,0.482,0.467
01/10/2018,0.548,0.407
01/11/2018,0.483,0.382
01/01/2019,0.05,0.668
01/02/2019,0.077,0.697
01/03/2019,0.388,0.45
01/04/2019,0.482,0.276
01/05/2019,0.47,0.2
01/06/2019,0.345,0.244
01/07/2019,0.428,0.268
01/08/2019,0.681,0.432
01/09/2019,0.666,0.418
01/10/2019,0.575,0.454
01/11/2019,0.212,0.722
01/12/2019,0.409,0.519
01/01/2020,0.407,0.534
01/02/2020,0.528,0.374
01/03/2020,0.501,0.478
01/04/2020,0.39,0.243
01/05/2020,0.455,0.234
01/06/2020,0.497,0.284
01/07/2020,0.637,0.427
01/08/2020,0.525,0.41
01/09/2020,0.325,0.454
01/10/2020,0.583,0.426
01/11/2020,0.476,0.436
01/12/2020,0.177,0.816
01/01/2021,0.129,0.632
01/02/2021,0.146,0.692
01/03/2021,0.356,0.253
01/04/2021,0.454,0.263
01/05/2021,0.412,0.32
01/07/2021,0.596,0.35
01/08/2021,0.27,0.435
01/09/2021,0.51,0.398
01/10/2021,0.521,0.379
01/11/2021,0.106,0.702
01/12/2021,0.365,0.52
01/01/2022,0.602,0.525
01/02/2022,0.129,0.756
01/03/2022,0.482,0.315
01/04/2022,0.375,0.24
01/05/2022,0.371,0.273
01/06/2022,0.494,0.317
01/07/2022,0.557,0.427
01/09/2022,0.543,0.476
01/10/2022,0.524,0.432
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
