date,date,NDWI,NDVI
01/01/2018,"Jan 1, 2018",0.525,0.511
01/02/2018,"Feb 1, 2018",0.408,0.453
01/03/2018,"Mar 1, 2018",0.474,0.291
01/04/2018,"Apr 1, 2018",0.178,0.306
01/05/2018,"May 1, 2018",0.243,0.426
01/06/2018,"Jun 1, 2018",0.285,0.541
01/07/2018,"Jul 1, 2018",0.339,0.406
01/08/2018,"Aug 1, 2018",0.405,0.538
01/09/2018,"Sep 1, 2018",0.467,0.482
01/10/2018,"Oct 1, 2018",0.407,0.548
01/11/2018,"Nov 1, 2018",0.382,0.483
01/01/2019,"Jan 1, 2019",0.668,0.05
01/02/2019,"Feb 1, 2019",0.697,0.077
01/03/2019,"Mar 1, 2019",0.45,0.388
01/04/2019,"Apr 1, 2019",0.276,0.482
01/05/2019,"May 1, 2019",0.2,0.47
01/06/2019,"Jun 1, 2019",0.244,0.345
01/07/2019,"Jul 1, 2019",0.268,0.428
01/08/2019,"Aug 1, 2019",0.432,0.681
01/09/2019,"Sep 1, 2019",0.418,0.666
01/10/2019,"Oct 1, 2019",0.454,0.575
01/11/2019,"Nov 1, 2019",0.722,0.212
01/12/2019,"Dec 1, 2019",0.519,0.409
01/01/2020,"Jan 1, 2020",0.534,0.407
01/02/2020,"Feb 1, 2020",0.374,0.528
01/03/2020,"Mar 1, 2020",0.478,0.501
01/04/2020,"Apr 1, 2020",0.243,0.39
01/05/2020,"May 1, 2020",0.234,0.455
01/06/2020,"Jun 1, 2020",0.284,0.497
01/07/2020,"Jul 1, 2020",0.427,0.637
01/08/2020,"Aug 1, 2020",0.41,0.525
01/09/2020,"Sep 1, 2020",0.454,0.325
01/10/2020,"Oct 1, 2020",0.426,0.583
01/11/2020,"Nov 1, 2020",0.436,0.476
01/12/2020,"Dec 1, 2020",0.816,0.177
01/01/2021,"Jan 1, 2021",0.632,0.129
01/02/2021,"Feb 1, 2021",0.692,0.146
01/03/2021,"Mar 1, 2021",0.253,0.356
01/04/2021,"Apr 1, 2021",0.263,0.454
01/05/2021,"May 1, 2021",0.32,0.412
01/07/2021,"Jul 1, 2021",0.35,0.596
01/08/2021,"Aug 1, 2021",0.435,0.27
01/09/2021,"Sep 1, 2021",0.398,0.51
01/10/2021,"Oct 1, 2021",0.379,0.521
01/11/2021,"Nov 1, 2021",0.702,0.106
01/12/2021,"Dec 1, 2021",0.52,0.365
01/01/2022,"Jan 1, 2022",0.525,0.602
01/02/2022,"Feb 1, 2022",0.756,0.129
01/03/2022,"Mar 1, 2022",0.315,0.482
01/04/2022,"Apr 1, 2022",0.24,0.375
01/05/2022,"May 1, 2022",0.273,0.371
01/06/2022,"Jun 1, 2022",0.317,0.494
01/07/2022,"Jul 1, 2022",0.427,0.557
01/09/2022,"Sep 1, 2022",0.476,0.543
01/10/2022,"Oct 1, 2022",0.432,0.524
